gene_name,log2FoldChange.KO_Inf_8h_KO_Mock_8h,padj.KO_Inf_8h_KO_Mock_8h,diff.KO_Inf_8h_KO_Mock_8h,log2FoldChange.WT_Inf_8h_WT_Mock_8h,padj.WT_Inf_8h_WT_Mock_8h,diff.WT_Inf_8h_WT_Mock_8h,mean_KO_Inf_8h,mean_KO_Mock_8h,mean_WT_Inf_8h,mean_WT_Mock_8h
VPS13D,0.0570451017142042,0.72411975510371,No,0.32381579736486,0.00882626664168915,No,989.631837575448,950.561909023082,1126.9264212855,895.417045808558
DHRS3,-0.402129817214585,0.0138172023530436,No,-0.340840803543856,0.0599605832172812,No,282.906648734563,378.163790466597,208.319802463562,266.91170643884
PRAMEF12,3.42368356333103,1.5185650592375e-27,Up,7.11667596204928,1.15944027783336e-129,Up,57.900782622487,0,865.113398657815,0
PRAMEF1,2.87809581342047,9.0958845606251e-19,Up,7.00187375589892,2.83369042513736e-122,Up,37.0540829600793,0,765.392568522545,0
PRAMEF11,1.22914891077224,0.00234864737530094,Up,4.04194357455054,6.43266233305049e-29,Up,8.81491895035326,0,111.503270470152,0
PRAMEF2,3.23098947939876,3.68546525499573e-24,Up,7.20650289073297,1.107774428913e-132,Up,50.3214884770679,0,919.194651427983,0
PRAMEF4,0.592298952464914,0.180004648279414,No,3.52479901824146,6.81015539056814e-22,Up,3.42686200236755,0,72.9630310528021,0
PRAMEF10,0.0503812697306124,0.932908672315421,No,3.00318844940159,5.50307568175619e-17,Up,0.429964296429696,0,67.2674764776374,0
PRAMEF7,2.80395919498365,4.27674577296834e-17,Up,7.05191502467543,1.54775853038516e-120,Up,35.3430242873688,0,808.750883715367,0
PRAMEF6,0.0841185679217221,0.772489034155639,No,0.507823062945368,0.0184129045517406,No,11.7815023606743,0,95.108015694962,0
PRAMEF25,2.85723640210375,2.08616929135757e-18,Up,7.34872202695009,4.10447205487428e-137,Up,37.588972491902,0,998.423065764501,0
PRAMEF5,2.07129696655755,3.18540282654003e-08,Up,4.74603757295326,2.26073769486044e-43,Up,19.1175365448832,0,168.573691712838,0
PRAMEF8,1.50951954566721,7.30919914026098e-05,Up,6.43277602207985,1.28706476169665e-90,Up,11.9090816115119,0,547.59417386533,0
PRAMEF9,3.00261789212528,3.60943531154317e-19,Up,6.06102574585953,2.37383566291086e-83,Up,44.4896350536995,0.454341124607266,453.54976349814,0.500796629430394
PRAMEF13,2.62584518725757,4.32107964935395e-15,Up,6.94417564006729,1.62215665147651e-117,Up,32.7098656322239,0,777.414306579726,0
PRAMEF15,1.82338787208556,1.12542984940443e-06,Up,5.72758905988818,2.03871428126268e-68,Up,15.2504987743578,0,323.675390137452,0
PRAMEF14,2.52882642196023,2.39100130108856e-13,Up,6.4359397769032,3.45742435044883e-95,Up,28.444392378149,0,535.368927457031,0
PRAMEF20,2.0020438316039,1.0781465062769e-07,Up,4.70992993415342,1.7472481384756e-42,Up,18.0662073213687,0,164.965469197189,0
PDPN,-0.276612723742819,4.92831840267287e-07,No,-0.250484475134783,2.23706903913618e-05,No,4648.46890742399,5636.91465415857,2968.4931906427,3533.65577100181
PRDM2,0.924172087901003,3.83141868904401e-33,No,1.15910823199586,3.22408690091161e-48,Up,2248.81243600054,1177.56073432619,2215.35846198894,983.366975424272
KAZN,-0.0763258145518573,0.6989364059751,No,0.141096955069701,0.458342886227926,No,261.565300030823,276.73000762773,230.639937913171,208.361322134645
TMEM51,-0.347908934472038,0.268102776989231,No,-0.170253577346481,0.61282619264505,No,52.8046787634295,69.7143346275519,90.832279113385,103.81889496562
EFHD2,-0.310352566783763,0.000620652945364454,No,-0.225180653327014,0.0162195577999786,No,883.077629647653,1097.3771223011,1183.73287960383,1389.52591031763
CTRC,0.190624754326109,0.691323767875973,No,0.610072702965168,0.122801609448298,No,26.2522391696362,21.7957444696291,36.805109451041,20.1225809149158
CASP9,-0.168678505633897,0.609781330969672,No,0.0315807935462303,0.93294821785656,No,114.294401958431,130.368418011142,143.000582714805,138.666291330972
